Phase,Sample,Lab,Protocol,Individual,Library,Run_accession
3,BYQ_AAAB,NA,Q,1,BYQ_AAAB_DA,ERR1971004
3,BYQ_AAAM,NA,H,1,BYQ_AAAM_DA,ERR1971015
3,BYQ_AAAV,NA,W,1,BYQ_AAAV_DA,ERR1971024
3,BYQ_AAAF,NA,Q,2,BYQ_AAAF_DA,ERR1971008
3,BYQ_AAAQ,NA,H,2,BYQ_AAAQ_DA,ERR1971019
3,BYQ_AAAZ,NA,W,2,BYQ_AAAZ_DA,ERR1971028
3,BYQ_AAAA,NA,Q,3,BYQ_AAAA_DA,ERR1971003
3,BYQ_AAAL,NA,H,3,BYQ_AAAL_DA,ERR1971014
3,BYQ_AAAU,NA,W,3,BYQ_AAAU_DA,ERR1971023
3,BYQ_AAAE,NA,Q,4,BYQ_AAAE_DA,ERR1971007
3,BYQ_AAAP,NA,H,4,BYQ_AAAP_DA,ERR1971018
3,BYQ_AAAY,NA,W,4,BYQ_AAAY_DA,ERR1971027
3,BYQ_AAAG,NA,Q,5,BYQ_AAAG_DA,ERR1971009
3,BYQ_AAAR,NA,H,5,BYQ_AAAR_DA,ERR1971020
3,BYQ_AABA,NA,W,5,BYQ_AABA_DA,ERR1971029
3,BYQ_AAAD,NA,Q,6,BYQ_AAAD_DA,ERR1971006
3,BYQ_AAAO,NA,H,6,BYQ_AAAO_DA,ERR1971017
3,BYQ_AAAX,NA,W,6,BYQ_AAAX_DA,ERR1971026
3,BYQ_AAAC,NA,Q,7,BYQ_AAAC_DA,ERR1971005
3,BYQ_AAAN,NA,H,7,BYQ_AAAN_DA,ERR1971016
3,BYQ_AAAW,NA,W,7,BYQ_AAAW_DA,ERR1971025
3,BYQ_AAAH,NA,Q,8,BYQ_AAAH_DA,ERR1971010
3,BYQ_AAAS,NA,H,8,BYQ_AAAS_DA,ERR1971021
3,BYQ_AABB,NA,W,8,BYQ_AABB_DA,ERR1971030
3,BYQ_AAAJ,NA,Q,A,BYQ_AAAJ_DA,ERR1971012
3,BYQ_AAAI,NA,Q,B,BYQ_AAAI_DA,ERR1971011
3,BYQ_AAAK,NA,Q,Mock-only,BYQ_AAAK_DA,ERR1971013
3,BYQ_AAAT,NA,H,Mock-only,BYQ_AAAT_DA,ERR1971022
3,BYQ_AABC,NA,W,Mock-only,BYQ_AABC_DA,ERR1971031
