ID	ERR1971003_profiled_metagenome	ERR1971004_profiled_metagenome	ERR1971005_profiled_metagenome	ERR1971006_profiled_metagenome	ERR1971007_profiled_metagenome	ERR1971008_profiled_metagenome	ERR1971009_profiled_metagenome	ERR1971010_profiled_metagenome	ERR1971011_profiled_metagenome	ERR1971012_profiled_metagenome	ERR1971013_profiled_metagenome	ERR1971014_profiled_metagenome	ERR1971015_profiled_metagenome	ERR1971016_profiled_metagenome	ERR1971017_profiled_metagenome	ERR1971018_profiled_metagenome	ERR1971019_profiled_metagenome	ERR1971020_profiled_metagenome	ERR1971021_profiled_metagenome	ERR1971022_profiled_metagenome	ERR1971023_profiled_metagenome	ERR1971024_profiled_metagenome	ERR1971025_profiled_metagenome	ERR1971026_profiled_metagenome	ERR1971027_profiled_metagenome	ERR1971028_profiled_metagenome	ERR1971029_profiled_metagenome	ERR1971030_profiled_metagenome	ERR1971031_profiled_metagenome
k__Archaea	0.0	0.0	0.0	0.0	0.0	0.10464	0.09638	0.0	0.0	0.09359	0.0	0.0	0.0	0.0	0.0	0.0	0.09565	0.07514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65406	0.15772	0.0	0.0
k__Archaea|p__Euryarchaeota	0.0	0.0	0.0	0.0	0.0	0.10464	0.09638	0.0	0.0	0.09359	0.0	0.0	0.0	0.0	0.0	0.0	0.09565	0.07514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65406	0.15772	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.0	0.0	0.0	0.0	0.0	0.10464	0.09638	0.0	0.0	0.09359	0.0	0.0	0.0	0.0	0.0	0.0	0.09565	0.07514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65406	0.15772	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.0	0.0	0.0	0.0	0.0	0.10464	0.09638	0.0	0.0	0.09359	0.0	0.0	0.0	0.0	0.0	0.0	0.09565	0.07514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65406	0.15772	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.10464	0.09638	0.0	0.0	0.09359	0.0	0.0	0.0	0.0	0.0	0.0	0.09565	0.07514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65406	0.15772	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0.0	0.0	0.0	0.0	0.0	0.10464	0.09398	0.0	0.0	0.09359	0.0	0.0	0.0	0.0	0.0	0.0	0.09565	0.07148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65406	0.13168	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	0.0	0.0	0.0	0.0	0.0	0.0864	0.06322	0.0	0.0	0.07254	0.0	0.0	0.0	0.0	0.0	0.0	0.09565	0.07148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65406	0.13168	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii|t__Methanobrevibacter_smithii_unclassified	0.0	0.0	0.0	0.0	0.0	0.0864	0.06322	0.0	0.0	0.07254	0.0	0.0	0.0	0.0	0.0	0.0	0.09565	0.07148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65406	0.13168	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified	0.0	0.0	0.0	0.0	0.0	0.01823	0.03076	0.0	0.0	0.02105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	0.0	0.0	0.0	0.0	0.0	0.0	0.0024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02604	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	0.0	0.0	0.0	0.0	0.0	0.0	0.0024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02604	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae|t__GCF_000012545	0.0	0.0	0.0	0.0	0.0	0.0	0.0024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02604	0.0	0.0
k__Bacteria	98.52549	92.64952	94.73834	96.0979	95.14765	97.50102	94.02989	94.43757	92.146	90.18427	77.5502	93.88788	92.77547	90.61345	94.25938	95.21717	93.72896	92.68681	92.30568	84.19	92.8044	87.59597	86.4164	93.88627	92.07251	90.97604	89.82867	87.30687	85.24259
k__Bacteria|p__Actinobacteria	10.90807	13.75735	10.92878	15.12377	5.21095	34.78926	1.29615	2.23869	3.1212	8.47781	0.0009	1.25258	0.9391	1.41741	1.50257	0.41053	1.0921	0.15845	0.29426	0.0	2.41816	0.6974	0.73869	2.95806	1.24919	2.8589	0.29432	0.51493	0.00119
k__Bacteria|p__Actinobacteria|c__Actinobacteria	10.90807	13.75735	10.92878	15.12377	5.21095	34.78926	1.29615	2.23869	3.1212	8.47781	0.0009	1.25258	0.9391	1.41741	1.50257	0.41053	1.0921	0.15845	0.29426	0.0	2.41816	0.6974	0.73869	2.95806	1.24919	2.8589	0.29432	0.51493	0.00119
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.00589	0.00722	0.0	0.00838	0.01955	0.0046	0.00859	0.00337	0.00118	0.03116	0.0	0.00013	0.0	0.00078	0.0	0.0068	0.0	0.0	0.0	0.0	0.00103	0.0	0.0	0.00084	0.00124	0.0	0.00093	0.00026	0.00119
