study_accession	sample_accession	experiment_accession	tax_id	scientific_name	instrument_model	library_name	library_layout	base_count	experiment_alias	fastq_bytes	fastq_ftp	submitted_ftp	sample_alias
PRJEB14847	SAMEA4347748	ERX1610427	749906	gut metagenome	Illumina HiSeq 2000	AWF_NIOSW_r1	PAIRED	5022571612	exp_AWF_NIOSW_4_D14FJACXX.IND9	2443074192;2458942078	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539337/ERR1539337_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539337/ERR1539337_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_NIOSW_4_1_D14FJACXX.IND9_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_NIOSW_4_2_D14FJACXX.IND9_clean.fastq.gz	sample_AWF_749906_B1_035
PRJEB14847	SAMEA4347534	ERX1610269	749906	gut metagenome	Illumina HiSeq 2000	AWF_BQOSW_r1	PAIRED	4279066653	exp_AWF_BQOSW_2_C0KU9ACXX.IND2	1800868816;1818578607	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539338/ERR1539338_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539338/ERR1539338_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_BQOSW_2_1_C0KU9ACXX.IND2_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_BQOSW_2_2_C0KU9ACXX.IND2_clean.fastq.gz	sample_AWF_749906_B1-111
PRJEB14847	SAMEA4347659	ERX1610138	749906	gut metagenome	Illumina HiSeq 2000	AWF_AAKOSW_r1	PAIRED	2926710661	exp_AWF_AAKOSW_1_HAYJVADXX.IND30	1272420319;1313885566	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539339/ERR1539339_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539339/ERR1539339_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_AAKOSW_1_1_HAYJVADXX.IND30_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_AAKOSW_1_2_HAYJVADXX.IND30_clean.fastq.gz	sample_AWF_749906_B1_188
PRJEB14847	SAMEA4347497	ERX1610408	749906	gut metagenome	Illumina HiSeq 2000	AWF_TKOSW_r1	PAIRED	6242218119	exp_AWF_TKOSW_4_C4VR1ACXX.IND24	2943440553;2875546938	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539340/ERR1539340_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539340/ERR1539340_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_TKOSW_4_1_C4VR1ACXX.IND24_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_TKOSW_4_2_C4VR1ACXX.IND24_clean.fastq.gz	sample_AWF_749906_B1-029
PRJEB14847	SAMEA4347661	ERX1610121	749906	gut metagenome	Illumina HiSeq 2000	AWF_AAIOSW_r1	PAIRED	4305881879	exp_AWF_AAIOSW_1_HAYK5ADXX.IND29	1954539750;1969431552	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1539341/ERR1539341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1539341/ERR1539341_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_AAIOSW_1_1_HAYK5ADXX.IND29_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_AAIOSW_1_2_HAYK5ADXX.IND29_clean.fastq.gz	sample_AWF_749906_B1_187
PRJEB14847	SAMEA4347707	ERX1610144	749906	gut metagenome	Illumina HiSeq 2000	AWF_AASOSW_r1	PAIRED	2393939884	exp_AWF_AASOSW_2_HAYK8ADXX.IND31	1030000265;1067033858	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539342/ERR1539342_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539342/ERR1539342_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_AASOSW_2_1_HAYK8ADXX.IND31_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_AASOSW_2_2_HAYK8ADXX.IND31_clean.fastq.gz	sample_AWF_749906_A1_047
PRJEB14847	SAMEA4347470	ERX1610136	749906	gut metagenome	Illumina HiSeq 2000	AWF_TPOSW_r2	PAIRED	2931836967	exp_AWF_TPOSW_4_C4UJUACXX.IND28	1398789294;1388679932	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1539343/ERR1539343_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1539343/ERR1539343_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_TPOSW_4_1_C4UJUACXX.IND28_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_TPOSW_4_2_C4UJUACXX.IND28_clean.fastq.gz	sample_AWF_749906_B1-039
PRJEB14847	SAMEA4347721	ERX1610154	749906	gut metagenome	Illumina HiSeq 2000	AWF_KSOSW_r1	PAIRED	5929156513	exp_AWF_KSOSW_2_D11VRACXX.IND11	2606444939;2564119349	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539344/ERR1539344_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539344/ERR1539344_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_KSOSW_2_1_D11VRACXX.IND11_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_KSOSW_2_2_D11VRACXX.IND11_clean.fastq.gz	sample_AWF_749906_B1-094
PRJEB14847	SAMEA4347669	ERX1610409	749906	gut metagenome	Illumina HiSeq 2000	AWF_RVOSW_r1	PAIRED	5063557009	exp_AWF_RVOSW_8_C1JDKACXX.IND19	2411839987;2428342898	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539345/ERR1539345_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539345/ERR1539345_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_RVOSW_8_1_C1JDKACXX.IND19_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_RVOSW_8_2_C1JDKACXX.IND19_clean.fastq.gz	sample_AWF_749906_A1-117
PRJEB14847	SAMEA4347527	ERX1610250	749906	gut metagenome	Illumina HiSeq 2000	AWF_BHOSW_r1	SINGLE	3613329554	exp_AWF_BHOSW_2_C0BCMACXX.IND7	3035949164	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1539346/ERR1539346.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_BHOSW_2_C0BCMACXX.IND7_clean.fastq.gz	sample_AWF_749906_B1-041
